subject_1,subject_2,<wasBornOnDate>_1,<wasBornOnDate>_2,<hasHeight>,<diedOnDate>_1,<diedOnDate>_2
1,1,94,107,-1,1,2
1,2,1,66,-1,10,54
1,3,98,119,-1,1,2
1,4,99,87,-1,1,2
1,5,93,8,-1,1,2
1,6,75,41,-1,1,2
1,7,118,30,-1,1,2
1,8,57,26,-1,1,2
1,9,78,46,-1,1,2
1,10,99,47,-1,1,2
1,11,121,64,-1,1,2
1,12,101,101,-1,1,2
1,13,88,48,-1,1,2
1,14,88,73,-1,1,2
1,15,82,101,-1,1,2
1,16,86,105,-1,1,2
1,17,101,79,-1,1,2
1,18,97,37,-1,1,2
1,19,103,34,-1,1,2
1,20,117,48,-1,1,2
1,21,108,54,-1,1,2
1,22,101,26,-1,1,2
1,23,99,10,-1,1,2
1,24,79,103,-1,1,2
1,25,6,115,-1,3,10
1,26,38,103,-1,1,2
1,27,102,29,-1,1,2
1,28,36,14,-1,62,41
1,29,108,103,-1,1,2
1,30,110,114,-1,1,2
1,31,106,79,-1,1,2
1,32,100,119,-1,1,2
1,33,38,63,-1,1,2
1,34,113,96,-1,1,2
1,35,124,27,-1,1,2
1,36,115,99,-1,1,2
1,37,34,96,-1,21,41
1,38,72,15,-1,1,2
1,39,12,88,-1,34,31
1,40,25,71,-1,73,8
1,41,22,46,-1,41,37
1,42,95,99,-1,4,38
1,43,90,111,-1,1,2
1,44,121,90,-1,1,2
1,45,82,106,-1,1,2
1,46,83,68,-1,1,2
1,47,104,119,-1,1,2
1,48,15,106,-1,21,53
1,49,85,49,-1,1,2
1,50,22,80,-1,52,71
1,51,8,49,-1,32,32
1,52,112,56,-1,1,2
1,53,108,43,-1,1,2
1,54,25,119,-1,52,40
1,55,51,28,-1,1,2
1,56,18,101,-1,37,5
1,57,9,60,-1,26,19
1,58,67,6,-1,1,2
1,59,48,93,-1,1,2
1,60,43,105,-1,1,2
1,61,21,71,-1,13,31
1,62,122,4,-1,1,2
1,63,66,74,-1,1,2
1,64,73,106,-1,1,2
1,65,90,67,-1,1,2
1,66,102,17,-1,1,2
1,67,102,116,-1,1,2
1,68,99,78,-1,1,2
1,69,115,40,-1,1,2
1,70,103,39,-1,1,2
1,71,88,56,-1,1,2
1,72,77,48,-1,1,2
1,73,108,59,-1,1,2
1,74,108,67,-1,1,2
1,75,60,113,-1,1,2
1,76,79,85,-1,1,2
1,77,119,49,-1,1,2
1,78,91,57,-1,1,2
1,79,77,35,-1,1,2
1,80,87,20,-1,1,2
1,81,114,46,-1,1,2
1,82,105,111,-1,1,2
1,83,28,69,-1,63,20
1,84,119,93,-1,1,2
1,85,122,53,-1,1,2
1,86,93,2,-1,1,2
1,87,104,29,-1,1,2
1,88,109,100,-1,1,2
1,89,106,1,-1,1,2
1,90,98,36,-1,1,2
1,91,94,52,-1,1,2
1,92,80,69,-1,1,2
1,93,112,119,-1,1,2
1,94,81,100,-1,1,2
1,95,91,24,-1,1,2
1,96,97,92,-1,1,2
1,97,74,61,-1,1,2
1,98,33,114,-1,1,2
1,99,108,72,-1,1,2
1,100,112,46,-1,1,2
1,101,105,71,-1,1,2
1,102,25,70,-1,62,74
1,103,11,46,-1,12,35
1,104,118,49,-1,1,2
1,105,103,56,-1,1,2
1,106,85,58,-1,1,2
1,107,112,105,-1,1,2
1,108,10,65,-1,38,4
1,109,116,87,-1,1,2
1,110,70,66,-1,1,2
1,111,10,100,-1,38,74
1,112,117,66,-1,1,2
1,113,22,66,-1,50,6
1,114,27,95,-1,62,4
1,115,69,82,-1,1,2
1,116,1,22,-1,2,55
1,117,61,13,-1,1,2
1,118,18,65,-1,18,22
1,119,1,21,-1,11,17
1,120,57,46,-1,1,2
1,121,89,4,-1,1,2
1,122,108,87,-1,1,2
1,123,81,121,-1,1,2
1,124,32,102,37,48,3
1,125,108,17,-1,1,2
1,126,76,8,-1,1,2
1,127,35,111,-1,32,23
1,128,16,63,-1,36,12
1,129,111,63,-1,1,2
1,130,83,39,-1,1,2
1,131,41,96,-1,69,10
1,132,2,33,-1,4,56
1,133,10,36,-1,29,3
1,134,26,118,-1,30,37
1,135,33,14,-1,48,72
1,136,39,116,-1,30,40
1,137,5,76,-1,12,19
1,138,75,91,-1,1,2
1,139,69,10,-1,1,2
1,140,96,70,-1,1,2
1,141,26,95,-1,25,42
1,142,83,64,-1,1,2
1,143,67,43,-1,1,2
1,144,78,70,-1,1,2
1,145,70,20,-1,1,2
1,146,64,37,-1,56,23
1,147,98,115,-1,1,2
1,148,68,77,-1,1,2
1,149,76,79,-1,1,2
1,150,63,83,-1,1,2
1,151,71,29,-1,1,2
1,152,38,109,-1,1,2
1,153,65,123,-1,1,2
1,154,24,32,-1,73,18
1,155,65,93,-1,1,2
1,156,100,107,-1,72,46
1,157,70,17,-1,1,2
1,158,66,84,-1,1,2
1,159,106,78,-1,1,2
1,160,107,95,-1,1,2
1,161,44,49,-1,1,2
1,162,69,119,-1,1,2
1,163,52,101,-1,1,2
1,164,91,31,-1,1,2
1,165,14,71,-1,5,56
1,166,53,4,-1,1,2
1,167,103,37,-1,1,2
1,168,36,52,-1,73,27
1,169,99,61,-1,1,2
1,170,8,34,-1,31,67
1,171,43,111,-1,43,51
1,172,16,20,-1,23,3
1,173,107,117,-1,1,2
1,174,80,34,-1,56,6
1,175,98,40,-1,1,2
1,176,18,94,-1,13,29
2,1,120,58,-1,1,2
2,2,115,72,-1,1,2
2,3,123,61,-1,1,2
2,4,93,52,-1,1,2
2,5,86,54,-1,1,2
2,6,97,40,-1,1,2
2,7,114,64,-1,1,2
2,8,110,37,-1,1,2
2,9,96,113,-1,1,2
2,10,118,110,-1,1,2
2,11,115,123,-1,1,2
2,12,89,20,-1,1,2
2,13,89,61,-1,1,2
2,14,82,66,-1,1,2
2,15,117,68,-1,1,2
2,16,31,63,-1,51,39
2,17,9,8,-1,3,44
2,18,111,25,-1,1,2
2,19,102,108,-1,1,2
2,20,10,38,-1,19,23
2,21,5,81,-1,3,52
2,22,4,112,-1,20,35
2,23,112,59,-1,1,2
2,24,100,69,-1,1,2
2,25,87,54,-1,1,2
2,26,77,81,-1,1,2
2,27,71,53,-1,1,2
2,28,51,77,-1,1,2
2,29,55,26,-1,1,2
2,30,64,70,-1,1,2
2,31,35,46,-1,52,71
2,32,8,106,-1,16,51
2,33,48,89,-1,74,6
2,34,124,23,-1,1,2
2,35,91,100,-1,1,2
2,36,58,69,-1,53,26
2,37,124,1,-1,1,2
2,38,119,48,-1,1,2
2,39,61,14,-1,1,2
2,40,118,110,-1,1,2
2,41,121,73,-1,1,2
2,42,18,75,-1,2,22
2,43,74,80,-1,1,2
2,44,83,2,-1,1,2
2,45,120,51,-1,1,2
2,46,69,107,-1,1,2
2,47,107,119,-1,1,2
2,48,79,73,-1,1,2
2,49,97,83,-1,1,2
2,50,7,100,-1,34,37
2,51,114,32,-1,1,2
2,52,114,120,-1,1,2
2,53,100,43,-1,1,2
2,54,120,26,-1,1,2
2,55,96,77,-1,1,2
2,56,108,33,-1,1,2
2,57,116,71,-1,1,2
2,58,18,37,-1,35,10
2,59,95,52,-1,1,2
2,60,86,119,-1,1,2
2,61,92,14,-1,1,2
2,62,120,17,-1,1,2
2,63,117,75,-1,1,2
2,64,82,60,-1,1,2
2,65,92,48,-1,1,2
2,66,83,109,-1,1,2
2,67,110,43,-1,1,2
2,68,84,70,-1,1,2
2,69,89,38,-1,1,2
2,70,53,94,-1,1,2
2,71,88,13,-1,1,2
2,72,40,123,-1,1,2
2,73,33,10,-1,28,59
2,74,101,1,-1,1,2
2,75,48,44,-1,1,2
2,76,9,92,-1,18,1
2,77,43,23,-1,1,2
2,78,98,86,-1,1,2
2,79,29,47,-1,69,26
2,80,81,8,-1,1,2
2,81,95,43,-1,1,2
2,82,82,5,-1,1,2
2,83,94,49,-1,1,2
2,84,60,83,-1,1,2
2,85,66,34,-1,1,2
2,86,4,76,-1,3,7
2,87,60,59,-1,1,2
2,88,40,38,-1,65,24
2,89,67,83,-1,56,62
2,90,61,117,-1,1,2
