company_id,company_name,country_code,movie_id,color_info,languages,countries,release dates,keyword,phonetic_code
1,E! Entertainment Television,[us],2,Color,English,USA,22/01/2006,number-in-title,N5165
2,YouTube,[us],11,Color,Italian,Italy,29/03/2012,twitter-hashtag-in-title,T3623
3,Generalization Y Entertainment,[us],44,Color,English,USA,24/04/2013,tv-mini-series,T1526
4,5*,[gb],50,Color,English,Unkown,01/01/1900,censored-profanity-in-title,C5263
4,5*,[gb],50,Color,English,Unkown,01/01/1900,father,F36
4,5*,[gb],50,Color,English,Unkown,01/01/1900,misanthrope,M2536
4,5*,[gb],50,Color,English,Unkown,01/01/1900,overbearing-father,O1616
4,5*,[gb],50,Color,English,Unkown,01/01/1900,twitter,T36
4,5*,[gb],51,Color,English,Canada,14/10/2010,awkward-situation,A2632
4,5*,[gb],51,Color,English,Canada,14/10/2010,baby-picture,B1236
4,5*,[gb],51,Color,English,Canada,14/10/2010,blind-date,B453
4,5*,[gb],51,Color,English,Canada,14/10/2010,café,C1
4,5*,[gb],51,Color,English,Canada,14/10/2010,code,C3
4,5*,[gb],51,Color,English,Canada,14/10/2010,deal,D4
4,5*,[gb],51,Color,English,Canada,14/10/2010,denial,D54
4,5*,[gb],51,Color,English,Canada,14/10/2010,dirty-joke,D632
4,5*,[gb],51,Color,English,Canada,14/10/2010,dressing-up,D6252
4,5*,[gb],51,Color,English,Canada,14/10/2010,embarrassment,E5162
4,5*,[gb],51,Color,English,Canada,14/10/2010,gay-joke,G2
4,5*,[gb],51,Color,English,Canada,14/10/2010,hitting-on-girl,H3525
4,5*,[gb],51,Color,English,Canada,14/10/2010,karaoke,K62
4,5*,[gb],51,Color,English,Canada,14/10/2010,navy,N1
4,5*,[gb],51,Color,English,Canada,14/10/2010,photo,P3
4,5*,[gb],51,Color,English,Canada,14/10/2010,photo-album,P3415
4,5*,[gb],51,Color,English,Canada,14/10/2010,sexual-innuendo,S2453
4,5*,[gb],51,Color,English,Canada,14/10/2010,shaking-one's-butt,S2525
4,5*,[gb],51,Color,English,Canada,14/10/2010,vodka-and-tonic,V3253
4,5*,[gb],51,Color,English,Canada,14/10/2010,whistling,W2345
4,5*,[gb],51,Color,English,Canada,14/10/2010,withheld-information,W3435
