id,keyword,phonetic_code
2068,handcuffed-to-a-bed,H5321
157,jane-austen,J5235
1059,woods,W32
3991,hanging,H5252
2148,junior-high-school,J5624
4292,bicycle-accident,B2423
5875,fishing-pole,F2521
579,art-gallery,A6324
1355,detroit-michigan,D3635
4607,extramarital-affair,E2365
5688,screaming,S2652
3749,reference-to-barry-white,R1652
2649,prize,P62
4997,dead-body-in-water,D3135
3802,pet-bird,P3163
3127,lock-out,L23
1196,wedding-anniversary,W3525
5906,thunder,T536
224,cooking,C252
1310,new-york-yankees,N6252
4835,groupie,G61
1535,hero,H6
1884,reporter,R1636
1690,panel-game,P5425
2606,china,C5
83,critically-acclaimed,C6324
2862,kissing,K252
1105,cult,C43
3502,women's-college,W5242
4000,river-of-blood,R1614
1925,webseries,W1262
5852,controversy,C5361
5607,grade-school,G6324
724,military,M436
4151,fear-of-ghosts,F6123
4805,summons,S52
2674,polaroid-camera,P4632
2919,mental-disorder,M5343
3371,expectant-father,E2123
2333,cocaine,C25
2573,comedy-troupe,C5361
5240,car-showroom,C6265
2869,cheating,C352
5106,dna,D5
238,insecurity,I5263
821,religion-versus-science,R4251
5117,passport,P2163
5720,strike,S362
5181,garden-center,G6352
264,plastic-surgery,P4232
2538,hurt,H63
5624,meteorologist,M3642
5310,glass,G42
5879,hole,H4
651,bound-and-gagged,B5353
5091,locker,L26
4432,victorian-house,V2365
538,caiman,C5
2743,swiss-bank-account,S2152
276,cold-open,C4315
5265,police-station,P4235
2135,medical-drama,M3243
893,cookery,C26
222,complaining,C5145
66,travel,T614
4483,private-property,P6131
327,gaming,G52
2378,soccer-game,S2625
1635,reference-to-andy-warhol,R1652
3745,hispanic-woman,H2152
2209,gay-minister,G5236
1836,crucifix-pendant,C6212
1673,headquarters,H3263
4338,haunted-apartment,H5316
3620,wink,W52
5327,murder-suspect,M6362
4500,wind,W53
576,wine,W5
5787,blind,B453
2601,patricide,P3623
4833,spouse-abuse,S1212
3504,backpack,B212
839,blood-brothers,B4316
4572,wales,W42
2883,tow-truck,T362
4807,telephone-operator,T4151
228,drinking,D6525
2423,iaido,I3
5035,video-game,V325
2670,human-bone,H515
1121,mafia-boss,M12
602,boutique-hotel,B3234
718,arrow,A6
3806,temporary-blindness,T5161
5522,volcano,V425
2431,tea-shop,T21
5144,burial,B64
2614,iraq-war,I626
582,distillery,D2346
4196,spider,S136
5718,shame,S5
2251,oprah,O16
5971,paper-bag,P1612
5089,keys,K2
31,bribe-attempt,B6135
4888,problem-solving,P6145
5552,business-takeover,B2523
4008,bloody-scratch,B4326
828,1910s,S
2354,fugitive,F231
4273,cornerstone,C6562
5249,rspca,R212
3216,reference-to-santa-claus,R1652
9,awkward-situation,A2632
5559,kitchen-maid,K3253
5134,diabetic,D132
1722,counter-terrorist,C5363
2599,counter-terrorism,C5363
833,1970s,S
2131,wasp,W21
4748,rich-widow,R23
321,turned-into-animal,T6535
1887,basketball,B2314
4968,internal-affairs,I5365
3046,engagement,E5253
484,tango,T52
2556,dead-mother,D3536
4252,haunted-by-the-past,H5313
3737,full-moon,F45
5702,wealthy-family,W4315
1146,double-standard,D1423
2365,outlaw,O34
2069,handcuffs,H5321
548,tree,T6
845,shower,S6
4260,pneumonia,P5
1596,war-on-terrorism,W6536
3438,reference-to-marx,R1652
5421,freeze-to-death,F623
4382,reference-to-psalm-23,R1652
2483,glastonbury-festival,G4235
202,boy-scout,B23
1519,balkan-war,B4256
790,pop-culture,P1243
2945,moving-on,M1525
5562,matriarch,M362
1076,slash-in-title,S4253
3589,contact-lens,C5323
322,addict,A323
3945,letter,L36
3075,age-difference,A2316
1835,video-file,V314
2364,morality,M643
5438,dummy,D5
807,singer,S526
5927,arm-injury,A6526
5589,professor,P6126
192,lap-dancer,L1352
658,stand-up-comedy,S3531
3931,hiding-under-covers,H3525
3342,wealthy-parent,W4316
5588,prime-minister,P6523
1185,first-anniversary,F6235
1056,scream,S265
4446,crowbar,C616
1717,bomb,B51
597,tequila,T24
1367,george-h.w.-bush,G6212
1937,travois,T612
4525,ulcer,U426
1110,sexism,S25
1995,wanted-poster,W5312
1390,business-partner,B2521
3376,in-vitro-fertilization,I5136
4566,jacobite,J213
188,buxom,B25
5894,cougar,C26
3623,bush,B2
2871,pledge-of-allegiance,P4321
1279,guano,G5
4744,magazine-publisher,M2514
218,clumsiness,C4525
2799,baseball-bat,B2141
2640,coming-out-of-a-coma,C5231
5038,army-veteran,A6513
5088,hostage-situation,H2323
2612,jaguar,J26
2326,baltimore-ravens,B4356
5928,broken-leg,B6254
4294,boarder,B636
1245,pretzel,P6324
736,wounded-man,W535
3648,frigidity,F623
3252,disaster,D236
442,fair,F6
3166,heirloom,H645
2719,consummation,C5253
1797,black-u.s.-president,B4216
5177,custom-official,C2351
4460,hammer,H56
5850,apple-computer,A1425
4405,demonologist,D5423
5824,urban-renewal,U6156
390,silent-movie-sequence,S4535
3665,pirate,P63
449,nature,N36
392,voice-of-god,V2123
892,italian-food,I3451
3181,debt,D13
1372,tyranny,T65
620,south-africa,S3162
995,accident,A2353
2171,new-orleans-louisiana,N6452
4189,incense,I5252
5944,rock-throwing,R2365
1276,double-date,D143
3128,obscenity,O1253
2513,stockholm-syndrome,S3245
805,rock-singer,R2526
5878,hay-bale,H14
5721,working-mom,W6252
5114,homicide-investigation,H5235
2962,george-washington,G6252
997,con-artist,C5632
569,paris-france,P6216
679,pregnancy,P6252
1389,blonde,B453
4586,girls'-boarding-school,G6421
3694,hearing-voices,H6521
1526,cricket-the-game,C6232
3294,borough-name-in-title,B6253
2539,jackass,J2
5455,japanese-army,J1526
778,life,L1
12,café,C1
4907,chile,C4
3939,child,C43
4795,chili,C4
4892,commerce,C562
5286,female-police-officer,F5414
1931,empty-canteen,E5132
4046,unwanted-gift,U5321
4187,flooding,F4352
2754,narcissism,N625
393,based-on-comic,B2352
3073,reference-to-napoleon,R1652
5870,chased-by-a-dog,C2313
1063,madonna,M35
4776,doorman,D65
841,memorial,M564
4671,toaster,T236
5635,after-school-special,A1362
2933,pay-raise,P62
425,rallye,R4
3759,year-1976,Y6
4526,year-1974,Y6
5331,demotion,D535
4504,year-1972,Y6
3807,year-1970,Y6
2737,year-1971,Y6
1182,bureaucrat,B6263
2572,comedy-team,C535
5143,brain-damage,B6535
3118,chicken-pox,C2512
4804,subpoena,S15
1861,silenced-shotgun,S4523
922,arrow-in-eye,A65
4174,throttling,T6345
5553,class-distinction,C4232
37,disguise,D2
5197,reference-to-king-kong,R1652
160,storage-unit,S3625
265,speeding-ticket,S1352
5409,insubordination,I5216
5877,hay,H
5077,autistic-teenager,A3232
613,prison,P625
4921,shoemaker,S526
287,hat,H3
2650,survival,S614
3208,gameboy,G51
4863,holiday-home,H435
3369,birth,B63
2311,somnophilia,S514
2168,head-in-toilet,H3534
4642,crime-scene,C6525
4488,sleeping-in-the-forest,S4152
5886,animated-episode,A5312
5630,weather-observation,W3612
5737,girl-on-boys-team,G6451
2602,battlefield,B3414
3415,attorney,A365
1880,heart-attack,H632
584,fishing-village,F2521
3048,unwanted-pregnancy,U5316
5759,harassment,H6253
3054,sleep-over,S416
1728,double-agent,D1425
4208,fog,F2
5129,treadmill,T6354
5430,bath-salt,B3243
3334,panic-attack,P5232
312,nuclear-war,N246
4067,cross-protects-against-evil,C6216
2800,crossing-the-border,C6252
2645,movie-criticism,M1263
5756,swim-team,S535
3964,butcher's-shower,B3262
4099,son,S5
575,walled-city,W4323
5734,hospice,H212
3545,gardening,G6352
1222,clothes-line,C4324
1154,sex-tape,S231
3388,triplets,T6143
4024,slide-show,S432
1605,year-2012,Y6
3178,junk-food,J5213
1138,teenage-boy,T521
3065,break-up,B621
4840,narration-from-the-grave,N6351
3207,duet,D3
5122,police-superintendent,P4216
4402,baby-powder,B136
3571,juvenile,J154
1082,teenage-girl,T5264
642,wehland,W453
2386,tournament,T653
3021,bathrobe,B361
3605,textbook,T2312
4470,land-grant,L5326
924,decapitation,D2135
838,television-history,T4125
4625,black-market,B4256
4036,dead-brother,D3163
2964,crutches,C632
5003,dry-cleaners,D6245
479,actor,A236
2679,sexual-sadism,S2423
4104,tied-to-a-chair,T326
1356,detroit-tigers,D3632
1572,transgender,T6525
5511,greenhouse-effect,G6521
5735,basketball-team,B2314
440,live-comedy,L1253
1915,double-cross,D1426
4085,looking-at-one's-self-in-a-mirror,L2523
3460,murder-mystery,M6365
5617,persecution,P6235
4946,shakespeare's-othello,S2162
947,mad-scientist,M3253
1001,jewelry,J46
1876,shootout,S3
5800,death-of-sister,D3123
3470,bluebells,B4142
1169,crotch-shot,C6323
4829,marital-discord,M6343
4920,peacock,P2
2064,shot-in-the-stomach,S3532
3822,necromancy,N2652
5642,child-entrepreneur,C4353
5176,crocodile,C6234
4191,kiss-on-the-cheek,K2532
3242,reference-to-jackie-kennedy,R1652
5993,dog-shot-by-gun,D2312
5545,ballet,B43
2340,dea-agent,D253
2997,reference-to-martin-luther-king,R1652
2897,black-eye,B42
5532,allentown-pennsylvania,A4535
4464,husband-wife-estrangement,H2153
69,cheap,C1
4357,praying-hands,P6525
1624,internet-chat,I5365
2998,sojourner-truth,S2656
2120,minute,M53
636,bauerfeind,B6153
4621,judaism,J325
4451,estranged-husband,E2365
3934,tricycle,T624
4855,british-secret-intelligence-service,B6326
4053,belief-in-the-devil,B4153
