company_id,company_name,country_code,movie_id,color_info,languages,countries,release dates
1,E! Entertainment Television,us,2,Color,English,USA,22/01/2006
1,E! Entertainment Television,us,2,Color,English,USA,22/01/2006
2,YouTube,us,11,Color,Italian,Italy,29/03/2012
3,Generalization Y Entertainment,us,44,Color,English,USA,24/04/2013
4,5*,gb,50,Color,English,Unkown,01/01/1800
5,Canadian Television (CTV),ca,50,Color,English,Unkown,01/01/1800
6,Columbia Broadcasting System (CBS),us,50,Color,English,Unkown,01/01/1800
7,Nine Network Australia,au,50,Color,English,Unkown,01/01/1800
8,Veronica,nl,50,Color,English,Unkown,01/01/1800
9,Warner Channel Latin America,br,50,Color,English,Unkown,01/01/1800
4,5*,gb,51,Color,English,Canada,14/10/2010
5,Canadian Television (CTV),ca,51,Color,English,Canada,14/10/2010
6,Columbia Broadcasting System (CBS),us,51,Color,English,Canada,14/10/2010
7,Nine Network Australia,au,51,Color,English,Canada,14/10/2010
8,Veronica,nl,51,Color,English,Canada,14/10/2010
9,Warner Channel Latin America,br,51,Color,English,Canada,14/10/2010
4,5*,gb,52,Color,English,Canada,20/01/2011
5,Canadian Television (CTV),ca,52,Color,English,Canada,20/01/2011
6,Columbia Broadcasting System (CBS),us,52,Color,English,Canada,20/01/2011
8,Veronica,nl,52,Color,English,Canada,20/01/2011
4,5*,gb,53,Color,English,Canada,04/11/2010
5,Canadian Television (CTV),ca,53,Color,English,Canada,04/11/2010
6,Columbia Broadcasting System (CBS),us,53,Color,English,Canada,04/11/2010
8,Veronica,nl,53,Color,English,Canada,04/11/2010
4,5*,gb,54,Color,English,Canada,28/10/2010
5,Canadian Television (CTV),ca,54,Color,English,Canada,28/10/2010
6,Columbia Broadcasting System (CBS),us,54,Color,English,Canada,28/10/2010
7,Nine Network Australia,au,54,Color,English,Canada,28/10/2010
8,Veronica,nl,54,Color,English,Canada,28/10/2010
9,Warner Channel Latin America,br,54,Color,English,Canada,28/10/2010
4,5*,gb,55,Color,English,Canada,27/01/2011
5,Canadian Television (CTV),ca,55,Color,English,Canada,27/01/2011
6,Columbia Broadcasting System (CBS),us,55,Color,English,Canada,27/01/2011
8,Veronica,nl,55,Color,English,Canada,27/01/2011
4,5*,gb,56,Color,English,Canada,16/12/2010
5,Canadian Television (CTV),ca,56,Color,English,Canada,16/12/2010
6,Columbia Broadcasting System (CBS),us,56,Color,English,Canada,16/12/2010
8,Veronica,nl,56,Color,English,Canada,16/12/2010
