movie_id,company_id,company_type_id,note
2,1,1,(2006) (USA) (TV)
2,1,1,(2006) (worldwide) (TV)
11,2,1,(2012) (worldwide) (all media)
44,3,1,(2013) (USA) (all media)
50,4,1,(2011) (UK) (TV)
50,5,1,(2010-2011) (Canada) (TV)
50,6,1,(2010-2011) (USA) (TV)
50,7,1,(2011) (Australia) (TV)
50,8,1,(2011) (Netherlands) (TV)
50,9,1,(2011) (Brazil) (TV)
51,4,1,(2011) (UK) (TV)
51,5,1,(2010) (Canada) (TV)
51,6,1,(2010) (USA) (TV)
51,7,1,(2011) (Australia) (TV)
51,8,1,(2011) (Netherlands) (TV)
51,9,1,(2011) (Brazil) (TV)
52,4,1,(2011) (UK) (TV)
52,5,1,(2011) (Canada) (TV)
52,6,1,(2011) (USA) (TV)
52,8,1,(2011) (Netherlands) (TV)
53,4,1,(2011) (UK) (TV)
53,5,1,(2010) (Canada) (TV)
53,6,1,(2010) (USA) (TV)
53,8,1,(2011) (Netherlands) (TV)
54,4,1,(2011) (UK) (TV)
54,5,1,(2010) (Canada) (TV)
54,6,1,(2010) (USA) (TV)
54,7,1,(2011) (Australia) (TV)
54,8,1,(2011) (Netherlands) (TV)
54,9,1,(2011) (Brazil) (TV)
55,4,1,(2011) (UK) (TV)
55,5,1,(2011) (Canada) (TV)
55,6,1,(2011) (USA) (TV)
55,8,1,(2011) (Netherlands) (TV)
56,4,1,(2011) (UK) (TV)
56,5,1,(2010) (Canada) (TV)
56,6,1,(2010) (USA) (TV)
56,8,1,(2011) (Netherlands) (TV)
57,4,1,(2011) (UK) (TV)
57,5,1,(2011) (Canada) (TV)
57,6,1,(2011) (USA) (TV)
57,8,1,(2011) (Netherlands) (TV)
58,4,1,(2011) (UK) (TV)
58,5,1,(2011) (Canada) (TV)
58,6,1,(2011) (USA) (TV)
58,8,1,(2011) (Netherlands) (TV)
59,4,1,(2011) (UK) (TV)
59,5,1,(2010) (Canada) (TV)
59,6,1,(2010) (USA) (TV)
59,8,1,(2011) (Netherlands) (TV)
60,4,1,(2011) (UK) (TV)
60,5,1,(2010) (Canada) (TV)
60,6,1,(2010) (USA) (TV)
60,7,1,(2011) (Australia) (TV)
60,8,1,(2011) (Netherlands) (TV)
60,9,1,(2011) (Brazil) (TV)
61,4,1,(2011) (UK) (TV)
61,5,1,(2010) (Canada) (TV)
61,6,1,(2010) (USA) (TV)
61,7,1,(2011) (Australia) (TV)
61,8,1,(2011) (Netherlands) (TV)
61,9,1,(2011) (Brazil) (TV)
62,4,1,(2011) (UK) (TV)
62,5,1,(2011) (Canada) (TV)
62,6,1,(2011) (USA) (TV)
62,8,1,(2011) (Netherlands) (TV)
63,4,1,(2011) (UK) (TV)
63,5,1,(2010) (Canada) (TV)
63,6,1,(2010) (USA) (TV)
63,8,1,(2011) (Netherlands) (TV)
64,4,1,(2011) (UK) (TV)
64,5,1,(2010) (Canada) (TV)
64,6,1,(2010) (USA) (TV)
64,7,1,(2011) (Australia) (TV)
64,8,1,(2011) (Netherlands) (TV)
64,9,1,(2011) (Brazil) (TV)
65,4,1,(2011) (UK) (TV)
65,5,1,(2011) (Canada) (TV)
65,6,1,(2011) (USA) (TV)
65,8,1,(2011) (Netherlands) (TV)
66,4,1,(2011) (UK) (TV)
66,5,1,(2011) (Canada) (TV)
66,6,1,(2011) (USA) (TV)
66,8,1,(2011) (Netherlands) (TV)
67,4,1,(2011) (UK) (TV)
67,5,1,(2010) (Canada) (TV)
67,6,1,(2010) (USA) (TV)
67,7,1,(2011) (Australia) (TV)
67,8,1,(2011) (Netherlands) (TV)
67,9,1,(2011) (Brazil) (TV)
68,4,1,(2011) (UK) (TV)
68,5,1,(2010) (Canada) (TV)
68,6,1,(2010) (USA) (TV)
68,7,1,(2011) (Australia) (TV)
68,8,1,(2011) (Netherlands) (TV)
69,10,1,(1986-1989)
69,11,1,(1989-)
70,12,1,(2010) (USA) (TV)
82,13,1,(2001) (Canada) (TV)
82,14,1,(2001) (worldwide) (TV)
85,6,1,(1984) (USA) (TV)
86,15,1,(2002) (USA) (TV)
94,16,1,(2005) (USA) (TV)
106,17,1,(2012) (USA) (all media)
114,18,1,(2004) (Canada) (TV)
114,19,1,(2004) (USA) (TV)
118,17,1,
196,20,1,(2009) (USA) (TV)
211,20,1,(2009) (USA) (all media)
227,21,1,(1980) (Australia) (TV)
228,22,1,(2003) (USA) (TV)
272,19,1,(1979) (USA) (TV)
272,23,1,(USA) (TV)
273,19,1,(1979) (USA) (TV)
279,19,1,(1979) (USA) (TV)
282,24,1,(2011) (UK) (TV)
283,25,1,(2009) (USA) (TV)
284,26,1,(????) (worldwide) (video)
284,27,1,(1982-1992) (UK) (TV) (original airing)
284,28,1,(2008-) (Estonia) (TV) (re-release)
284,29,1,(2003) (Finland) (DVD)
284,30,1,(2010) (Germany) (DVD)
284,31,1,(199?-) (Netherlands) (TV) (reruns) (RTL5) (RTL7)
284,32,1,(19??-????) (Netherlands) (TV)
284,33,1,(2008) (Netherlands) (DVD) (season 5)
284,34,1,(2004) (USA) (DVD)
370,35,1,(2010) (UK) (all media)
371,36,1,(2007) (Canada) (TV)
398,37,1,(2000) (Yugoslavia) (TV)
404,38,1,(2007) (Belgium) (TV)
405,27,1,(2001) (UK) (TV)
414,39,1,(2009) (UK) (TV)
579,40,1,(2012) (worldwide) (DVD)
580,40,1,(2012) (worldwide) (DVD)
581,41,1,(2006) (USA) (TV)
581,42,1,(2012) (Hungary) (TV) (re-release)
581,43,1,(2012-2013) (Hungary) (TV) (re-release)
581,44,1,(2006) (worldwide) (all media)
581,45,1,(2008) (Hungary) (TV)
581,46,1,(2010) (Hungary) (TV) (re-release)
581,47,1,(2009) (Hungary) (TV) (re-release)
586,41,1,
596,48,1,(2007-) (UK) (TV)
596,49,1,(2006-) (USA) (TV)
596,31,1,(2008-) (Netherlands) (TV) (RTL8)
596,46,1,(2009-) (Hungary) (TV)
596,50,1,(2009) (Belgium) (DVD) (season 1)
596,51,1,(2009) (Netherlands) (DVD) (season 1)
596,52,1,(2009) (USA) (DVD) (season 2)
596,53,1,(2008-) (Estonia) (TV)
597,49,1,(2010) (USA) (TV)
597,46,1,(2011) (Hungary) (TV)
600,46,1,(2010) (Hungary) (TV)
601,49,1,(2010) (USA) (TV)
602,46,1,(2011) (Hungary) (TV)
603,46,1,(2011) (Hungary) (TV)
605,46,1,(2011) (Hungary) (TV)
606,54,1,(2008) (Germany) (TV)
606,49,1,(2007) (USA) (TV)
606,46,1,(2010) (Hungary) (TV)
607,49,1,(2010) (USA) (TV)
607,46,1,(2012) (Hungary) (TV)
608,54,1,(2009) (Germany) (TV)
608,49,1,(2007) (USA) (TV)
608,46,1,(2010) (Hungary) (TV)
609,49,1,(2010) (USA) (TV)
609,46,1,(2012) (Hungary) (TV)
610,54,1,(2008) (Germany) (TV)
610,49,1,(2006) (USA) (TV)
610,46,1,(2010) (Hungary) (TV)
611,54,1,(2008) (Germany) (TV)
611,49,1,(2006) (USA) (TV)
611,46,1,(2009) (Hungary) (TV)
612,46,1,(2011) (Hungary) (TV)
613,46,1,(2012) (Hungary) (TV)
614,54,1,(2008) (Germany) (TV)
614,49,1,(2006) (USA) (TV)
614,46,1,(2009) (Hungary) (TV)
615,46,1,(2011) (Hungary) (TV)
617,46,1,(2010) (Hungary) (TV)
618,49,1,(2010) (USA) (TV)
618,46,1,(2011) (Hungary) (TV)
619,54,1,(2008) (Germany) (TV)
619,49,1,(2007) (USA) (TV)
619,46,1,(2010) (Hungary) (TV)
620,54,1,(2009) (Germany) (TV)
620,49,1,(2007) (USA) (TV)
620,46,1,(2010) (Hungary) (TV)
622,54,1,(2008) (Germany) (TV)
622,49,1,(2007) (USA) (TV)
622,46,1,(2010) (Hungary) (TV)
624,46,1,(2011) (Hungary) (TV)
629,46,1,(2010) (Hungary) (TV)
630,46,1,(2011) (Hungary) (TV)
631,46,1,(2010) (Hungary) (TV)
632,46,1,(2011) (Hungary) (TV)
633,54,1,(2009) (Germany) (TV)
633,49,1,(2007) (USA) (TV)
633,46,1,(2010) (Hungary) (TV)
634,46,1,(2011) (Hungary) (TV)
635,54,1,(2008) (Germany) (TV)
635,49,1,(2006) (USA) (TV)
635,31,1,(2008) (Netherlands) (TV) (RTL8)
635,46,1,(2009) (Hungary) (TV)
636,46,1,(2011) (Hungary) (TV)
637,46,1,(2011) (Hungary) (TV)
638,46,1,(2011) (Hungary) (TV)
639,46,1,(2011) (Hungary) (TV)
642,54,1,(2008) (Germany) (TV)
642,49,1,(2006) (USA) (TV)
642,46,1,(2009) (Hungary) (TV)
644,49,1,(2008) (USA) (TV)
644,46,1,(2011) (Hungary) (TV)
645,49,1,(2010) (USA) (TV)
645,46,1,(2011) (Hungary) (TV)
646,49,1,(1998) (USA) (TV) (original airing)
646,46,1,(2011) (Hungary) (TV)
647,46,1,(2011) (Hungary) (TV)
648,46,1,(2011) (Hungary) (TV)
649,54,1,(2008) (Germany) (TV)
649,49,1,(2007) (USA) (TV)
649,46,1,(2010) (Hungary) (TV)
650,46,1,(2011) (Hungary) (TV)
651,54,1,(2008) (Germany) (TV)
651,49,1,(2007) (USA) (TV)
651,46,1,(2010) (Hungary) (TV)
651,55,1,(2008) (Belgium) (TV)
651,56,1,(2008) (France) (TV)
652,54,1,(2008) (Germany) (TV)
652,49,1,(2007) (USA) (TV)
652,46,1,(2010) (Hungary) (TV)
653,49,1,(2010) (USA) (TV)
654,54,1,(2008) (Germany) (TV)
654,49,1,(2007) (USA) (TV)
654,46,1,(2010) (Hungary) (TV)
654,55,1,(2008) (Belgium) (TV)
654,56,1,(2008) (France) (TV)
656,49,1,(2009) (USA) (TV)
656,46,1,(2011) (Hungary) (TV)
657,49,1,(2010) (USA) (TV)
658,54,1,(2008) (Germany) (TV)
658,49,1,(2007) (USA) (TV)
658,46,1,(2010) (Hungary) (TV)
659,54,1,(2008) (Germany) (TV)
659,49,1,(2007) (USA) (TV)
659,46,1,(2010) (Hungary) (TV)
660,49,1,(2010) (USA) (TV)
661,49,1,(2009) (USA) (TV)
661,46,1,(2011) (Hungary) (TV)
662,46,1,(2011) (Hungary) (TV)
663,54,1,(2008) (Germany) (TV)
663,49,1,(2006) (USA) (TV)
663,46,1,(2009) (Hungary) (TV)
664,54,1,(2008) (Germany) (TV)
664,49,1,(2007) (USA) (TV)
664,46,1,(2010) (Hungary) (TV)
665,54,1,(2008) (Germany) (TV)
665,49,1,(2007) (USA) (TV)
665,46,1,(2010) (Hungary) (TV)
666,49,1,(2010) (USA) (TV)
666,46,1,(2011) (Hungary) (TV)
667,49,1,(2009) (USA) (TV)
668,46,1,(2011) (Hungary) (TV)
669,54,1,(2008) (Germany) (TV)
669,49,1,(2006) (USA) (TV)
669,46,1,(2009) (Hungary) (TV)
670,49,1,(2007) (USA) (TV)
670,46,1,(2010) (Hungary) (TV)
670,52,1,(2009) (USA) (DVD)
671,54,1,(2008) (Germany) (TV)
671,49,1,(2006) (USA) (TV)
671,46,1,(2010) (Hungary) (TV)
673,54,1,(2008) (Germany) (TV)
673,49,1,(2006) (USA) (TV)
673,46,1,(2009) (Hungary) (TV)
674,46,1,(2010) (Hungary) (TV)
