movie_id,color_info,languages,countries,release dates
1,Color,Italian,Italy,01/01/1994
2,Color,English,USA,22/01/2006
3,Unkown,English,USA,12/02/2006
4,Unkown,English,USA,19/02/2006
5,Unkown,English,USA,22/01/2006
6,Unkown,English,USA,19/03/2006
7,Unkown,English,USA,05/02/2006
8,Unkown,English,USA,12/03/2006
9,Unkown,English,USA,29/01/2006
10,Unkown,English,USA,26/02/2006
11,Color,Italian,Italy,29/03/2012
12,Unkown,English,Italy,19/04/2012
13,Unkown,English,Italy,29/03/2012
14,Unkown,English,Italy,12/04/2012
15,Unkown,English,Italy,17/05/2012
16,Unkown,English,Italy,05/04/2012
17,Unkown,English,Italy,03/06/2012
18,Unkown,English,Italy,10/05/2012
19,Unkown,English,Italy,26/04/2012
20,Unkown,English,Italy,24/05/2012
21,Unkown,English,Italy,03/05/2012
22,Color,English,USA,10/03/2011
23,Unkown,English,USA,03/03/2011
24,Color,English,USA,02/09/2011
25,Unkown,English,USA,17/12/2011
26,Unkown,English,USA,09/09/2011
27,Unkown,English,USA,02/09/2011
28,Unkown,English,USA,03/12/2011
29,Unkown,English,USA,08/10/2011
30,Unkown,English,USA,09/11/2011
31,Unkown,English,USA,30/10/2011
32,Unkown,English,USA,09/09/2011
33,Unkown,English,USA,08/10/2011
34,Unkown,English,USA,17/12/2011
35,Unkown,English,USA,21/03/2012
36,Unkown,English,USA,11/04/2012
37,Unkown,English,USA,17/01/2012
38,Unkown,English,USA,14/02/2012
39,Unkown,English,USA,30/03/2012
40,Unkown,English,USA,13/12/2011
41,Unkown,English,USA,23/11/2011
42,Unkown,English,USA,30/10/2011
43,Unkown,English,USA,28/02/2012
44,Color,English,USA,24/04/2013
45,Unkown,English,USA,24/04/2013
46,Unkown,English,USA,08/05/2013
47,Unkown,English,USA,01/06/2013
48,Unkown,English,USA,22/05/2013
49,Unkown,English,USA,01/06/2013
50,Color,English,Unkown,01/01/1800
51,Color,English,Canada,14/10/2010
52,Color,English,Canada,20/01/2011
53,Color,English,Canada,04/11/2010
54,Color,English,Canada,28/10/2010
55,Color,English,Canada,27/01/2011
56,Color,English,Canada,16/12/2010
57,Color,English,Canada,06/01/2011
58,Color,English,Canada,10/02/2011
59,Color,English,Canada,18/11/2010
60,Color,English,Canada,21/10/2010
61,Color,English,Canada,23/09/2010
62,Color,English,Cambodia,13/01/2011
63,Color,English,Canada,11/11/2010
64,Color,English,Canada,07/10/2010
65,Color,English,Canada,03/02/2011
66,Color,English,Canada,17/02/2011
67,Color,English,Canada,30/09/2010
68,Color,English,Canada,09/12/2010
69,Color,English,Unkown,01/01/1800
70,Color,English,USA,19/06/2010
71,Unkown,English,USA,10/07/2010
72,Unkown,English,USA,19/06/2010
73,Unkown,English,USA,07/08/2010
74,Unkown,English,USA,24/07/2010
75,Unkown,English,USA,26/06/2010
76,Unkown,English,USA,17/07/2010
77,Unkown,English,USA,28/08/2010
78,Unkown,English,USA,14/08/2010
79,Unkown,English,USA,21/08/2010
80,Unkown,English,USA,19/06/2010
81,Unkown,English,USA,31/07/2010
82,Color,English,Canada,13/09/2001
84,Color,English,Unkown,01/01/1800
85,Color,English,USA,17/09/1984
86,Color,English,USA,02/02/2002
88,Unkown,English,USA,20/06/2004
89,Unkown,English,USA,20/08/2002
90,Unkown,English,USA,18/06/2006
91,Unkown,English,USA,22/09/2003
92,Unkown,English,USA,13/06/2005
93,Unkown,English,USA,02/11/2002
94,Color,English,USA,13/10/2005
95,Unkown,English,USA,12/12/2004
96,Unkown,English,USA,13/09/2003
97,Unkown,English,USA,23/11/2003
98,Unkown,English,USA,20/09/2006
99,Unkown,English,USA,05/06/2003
100,Unkown,English,USA,23/09/2004
101,Unkown,English,USA,27/11/2005
102,Unkown,English,USA,26/11/2006
103,Color,English,USA,02/02/2002
104,Unkown,English,USA,18/03/2005
105,Unkown,English,USA,27/01/2006
106,Color,English,USA,23/09/2012
107,Unkown,English,USA,15/10/2012
108,Unkown,English,USA,23/09/2012
109,Unkown,English,USA,24/09/2012
110,Unkown,English,USA,01/10/2012
111,Unkown,English,USA,08/10/2012
112,Unkown,English,USA,22/10/2012
113,Unkown,English,USA,29/10/2012
114,Color,English,USA,08/11/2004
115,Unkown,English,USA,08/11/2004
116,Unkown,English,USA,14/11/2004
117,Unkown,English,USA,22/11/2004
118,Color,English,USA,24/04/2002
119,Color,English,USA,02/04/2004
120,Color,English,USA,09/10/2002
121,Color,English,USA,12/08/2005
122,Color,English,USA,19/11/2004
123,Color,English,USA,08/04/2005
124,Color,English,USA,21/01/2004
125,Color,English,USA,04/12/2002
126,Color,English,USA,25/06/2003
127,Color,English,USA,24/09/2004
128,Color,English,USA,21/05/2003
129,Color,English,USA,28/05/2003
130,Color,English,USA,12/02/2003
131,Color,English,USA,14/05/2003
132,Color,English,USA,28/11/2002
133,Color,English,USA,29/10/2004
134,Color,English,USA,08/10/2003
135,Color,English,USA,09/04/2004
136,Color,English,USA,16/10/2002
137,Color,English,USA,13/05/2005
138,Color,English,USA,04/06/2003
139,Color,English,USA,28/05/2003
140,Color,English,USA,07/01/2004
141,Color,English,USA,29/08/2004
142,Color,English,USA,23/10/2002
143,Color,English,USA,08/07/2005
144,Color,English,USA,27/08/2004
145,Color,English,USA,22/04/2005
146,Color,English,USA,12/11/2004
147,Color,English,USA,04/03/2005
148,Color,English,USA,23/07/2003
149,Color,English,USA,10/09/2004
150,Color,English,USA,17/07/2002
151,Color,English,USA,08/05/2002
152,Color,English,USA,07/01/2005
153,Color,English,USA,18/06/2003
154,Color,English,USA,11/06/2003
155,Color,English,USA,12/06/2002
156,Color,English,USA,17/09/2003
157,Color,English,USA,19/06/2002
158,Color,English,USA,10/12/2003
159,Color,English,USA,18/03/2005
160,Color,English,USA,21/01/2005
161,Color,English,USA,04/02/2005
162,Color,English,USA,24/04/2002
163,Color,English,USA,09/07/2003
164,Color,English,USA,02/07/2003
165,Color,English,USA,08/01/2003
166,Color,English,USA,02/12/2005
167,Color,English,USA,17/12/2004
168,Color,English,USA,30/04/2003
169,Color,English,USA,29/05/2002
170,Color,English,USA,10/09/2003
171,Color,English,USA,02/10/2002
172,Color,English,USA,20/09/2004
173,Color,English,USA,15/01/2003
174,Color,English,USA,25/02/2004
175,Color,English,USA,26/06/2002
176,Color,English,USA,14/08/2002
177,Color,English,USA,18/02/2005
178,Color,English,USA,10/07/2002
179,Color,English,USA,22/05/2002
180,Color,English,USA,22/07/2005
181,Color,English,USA,28/07/2002
