id,title,kind_id,production_year,episode_nr
5156,Josie Duggar's 1st Shoes,7,2010.0,13.0
5522,Game 2,7,1951.0,
2903,(2002-06-29),7,2002.0,
168,"Oahu, HI",7,2003.0,2.0
4477,Silenci,7,2009.0,6.0
5392,(#1.8),7,2011.0,8.0
2425,Andres Carefully Plans Out How to Tell Sophia the Truth about Her Real Parents,7,2011.0,70.0
3083,1001 gece,2,2006.0,
2723,1941 - Das 'Unternehmen Barbarossa',7,1999.0,3.0
320,Missing and Presumed Dead,7,1992.0,2.0
47,The Followup,7,2013.0,4.0
963,.hack//Tasogare no udewa densetsu,2,2003.0,
4340,De zangwedstrijd (Amersfoort),7,1990.0,
1856,Let It Snow,7,2009.0,4.0
4960,(#3.17),7,2007.0,17.0
4156,"A Great Distance in the Wind, the Sky at Dawn: Part 12",7,2003.0,35.0
4255,The Climate of Doubt,7,1964.0,5.0
2589,Sick as a Dog,7,2001.0,8.0
2465,Anna Tells Sophia That She Is Her Daughter,7,2011.0,116.0
2789,Conductoras vs Conductores,7,2004.0,5.0
1892,(#3.2),7,2013.0,2.0
4008,Farbenspiele 1966-1970,7,2005.0,3.0
943,Encounter,7,2002.0,6.0
4683,(#1.3),7,2012.0,3.0
2786,100 mexicanos dijeron,2,2001.0,
1855,Dog Alone,7,2009.0,6.0
3126,(#2.43),7,2007.0,43.0
1536,1+1=1,2,1981.0,
2963,Death Gets Busy,7,2009.0,6.0
1595,I Thought I Knew You,7,2003.0,4.0
422,De zaak van de beschadigde bokser,7,1969.0,2.0
5712,1972 World Series,2,1972.0,
3061,"Young, Dumb and Full of Death",7,2010.0,9.0
3760,Stealing Altitude,7,1994.0,3.0
759,(2004-11-20),7,2004.0,
445,Hennie,7,2013.0,3.0
483,Bijwerkingen,7,1997.0,4.0
4081,Especial de Halloween,7,2010.0,
3166,(#3.84),7,2009.0,84.0
5704,Game 4,7,1972.0,
4289,Adventure Mouse,7,2005.0,7.0
4813,Eurocrush,7,2005.0,23.0
5796,Game 5,7,1977.0,
5981,1989 - Aufbruch ins Ungewisse: Unbekanntes aus Mitteldeutschland,2,2009.0,
2366,Rollo,7,2012.0,43.0
3753,Running the Bulls,7,1989.0,8.0
949,Intermezzo,7,2002.0,27.0
102,The Game,7,2006.0,
2428,Andres Wants to Prove to Sophia That He Is Still the Head of Their Family,7,2011.0,22.0
2711,1932 - Weimar am Ende,7,1999.0,12.0
5660,Game 1,7,1969.0,
1913,(#1.8),7,,8.0
3616,I apagogi,7,2005.0,17.0
644,Snip/Duck,7,2008.0,12.0
1492,(#2.8),7,2008.0,8.0
1764,Dollar Day Afternoon,7,2008.0,1.0
3839,Le Mal,7,2004.0,
1920,(#3.15),7,,15.0
5853,Game 3,7,1981.0,
504,De zonnigste dag van je leven,7,2001.0,12.0
1235,(#2.2),7,2010.0,2.0
2612,Hour 4,7,2000.0,4.0
699,"Afinal, a Final",7,2012.0,13.0
4326,Brandend geheim (Mijdrecht),7,1995.0,
5370,183 dagar,2,2009.0,
5672,Game 3,7,1970.0,
1353,(#1.1),7,2006.0,1.0
2676,Världens roligaste ögonblick 90-81,7,2005.0,2.0
4641,Trudne dni,7,1998.0,19.0
