subject,<wasBornOnDate>,<hasHeight>,<diedOnDate>
<50_Cent>,1975.0706,nan,
<A._E._Matthews>,1869.1122,nan,1960.0725
<A._J._Buckley>,1978.0209,nan,
<A._J._Cook>,1978.0722,nan,
<A._J._Langer>,1974.0522,nan,
<A._Michael_Baldwin>,1963.0404,nan,
<AJ_Michalka>,1991.041,nan,
<A_Martinez>,1948.0927,nan,
<Aamir_Khan>,1965.0314,nan,
<Aaron_Abrams>,1978.0512,nan,
<Aaron_Altaras>,1995.1121,nan,
<Aaron_Ashmore>,1979.1007,nan,
<Aaron_D._Spears>,1971.071,nan,
<Aaron_Douglas_(actor)>,1971.0823,nan,
<Aaron_Eckhart>,1968.0312,nan,
<Aaron_Jeffery>,1970.0825,nan,
<Aaron_Paul>,1979.0827,nan,
<Aaron_Stanford>,1976.1227,nan,
<Aaron_Staton>,1980.081,nan,
<Aaron_Taylor-Johnson>,1990.0613,nan,
<Aaron_Tveit>,1983.1021,nan,
<Aaron_Yoo>,1979.0512,nan,
<Aarti_Mann>,1978.0303,nan,
<Aasif_Mandvi>,1966.0305,nan,
<Abbas_Mirza_Sharifzadeh>,1893.0322,nan,1938.1116
<Abbe_Lane>,1932.1214,nan,
<Abbey_DiGregorio>,1980.0,nan,
<Abbey_Lincoln>,1930.0806,nan,2010.0814
<Abbi_Jacobson>,1984.0201,nan,
<Abbie_Cobb>,1985.0606,nan,
<Abbie_Cornish>,1982.0807,nan,
<Abby_Brammell>,1979.0319,nan,
<Abby_Dalton>,1932.0815,nan,
<Abby_Elliott>,1987.0616,nan,
<Abby_Ryder_Fortson>,2008.0314,nan,
<Abby_Wilde>,1989.0225,nan,
<Abdel_Halim_Hafez>,1929.0621,nan,1977.033
<Abdellatif_Kechiche>,1960.1207,nan,
<Abdur_Rashid_Kardar>,1904.1002,nan,1989.1122
<Abe_Vigoda>,1921.0224,nan,2016.0126
<Abel_Salazar_(actor)>,1917.0924,nan,1995.1021
<Abhishek_Bachchan>,1976.0205,nan,1943.1228
<Abi_Tucker>,1973.0122,nan,
<Abigail_Breslin>,1996.0414,nan,
<Abigail_Cruttenden>,1968.0323,nan,
<Abigail_Hopkins>,1968.082,nan,
<Abigail_Spencer>,1981.0804,nan,
<Abner_Biberman>,1909.0401,nan,1977.062
<Abraham_Benrubi>,1969.1004,nan,
<Abraham_Bueno_de_Mesquita>,1918.0,nan,2005.0
<Abraham_Sofaer>,1896.1001,nan,1988.0121
<Ace_Mahbaz>,1986.0625,nan,
