subject,<wasCreatedOnDate>,<hasDuration>
<!Women_Art_Revolution>,2010.0912,
"<$1,000_Reward>",1915.0226,
"<$1,000_a_Touchdown>",1939.1004,
<$9.99>,2008.0904,
<$_(film)>,1971.1217,
<$pent>,2000.0721,
<&ME>,2013.0,
<'38_–_Vienna_Before_the_Fall>,1986.0,
<'68_(film)>,1988.0506,
<'71_(film)>,2014.0207,
<'76_(film)>,2016.0,
<'Blue_Blazes'_Rawden>,1918.0201,
<'Gator_Bait>,1974.0,
<'Hood_(film)>,1998.071,
<'If_Only'_Jim>,1920.0,
<'In_Wrong'_Wright>,1920.103,
<'It's_Alive!'>,1969.0,
<'Merika>,1984.0924,
<'N_Beetje_Verliefd>,2006.1214,
<'Neath_Austral_Skies>,1913.1202,
<'Neath_Brooklyn_Bridge>,1942.112,
<'Neath_the_Arizona_Skies>,1934.1205,
<'R_Xmas>,2001.0509,
<'Til_There_Was_You>,1997.053,
<'Til_We_Meet_Again>,1940.042,
<'Tis_Pity_She's_a_Whore_(film)>,1971.092,
<'Twas_Ever_Thus>,1915.0923,
<'Twas_the_Night>,2001.1207,
<'n_Saak_van_Geloof>,2011.0909,
<'n_Schot_in_de_Roos>,1983.0,
"<'night,_Mother_(film)>",1986.0912,
<'t_Was_één_April>,1936.0327,
<(Otto)>,2015.0,
<(Sex)_Appeal>,2014.0912,
<(T)error>,2015.1007,
<(Untitled)_(2009_film)>,2009.1023,5760.0
<(_)_(film)>,2003.1018,
<(attn_dfct)>,2013.08,
<*Corpus_Callosum>,2002.0,
<+1_(film)>,2013.031,
<-30-_(film)>,1959.0,
<...All_the_Marbles>,1981.1016,
<...And_God_Created_Them>,1979.0,
<...And_Justice_for_All_(film)>,1979.0915,
<...And_Once_Again>,2010.082,
<...But_the_Olsen_Gang_Wasn't_Dead>,1984.0,
<...La_bocca_mi_bacio_tutto_tremante>,1919.0901,
<...More_than_1000_Words>,2006.0213,4680
<...One_Third_of_a_Nation...>,1939.021,
<...Re_(film)>,2016.0304,
<...So_Goes_the_Nation>,2006.0,
<...To_Skin_a_Cat>,2004.0306,
<...When_Love_Happens>,2014.1024,
<...Y_mañana_serán_mujeres>,1955.0,
"<..._All_the_Way,_Boys!>",1972.1222,7320.0
<..._Gdziekolwiek_jesteś_panie_prezydencie>,1978.0,
<..._nur_ein_Komödiant>,1935.1009,
<...denn_die_Musik_und_die_Liebe_in_Tirol>,1963.122,
<...e_vennero_in_quattro_per_uccidere_Sartana!>,1969.0,
<...ing>,2003.1124,
<...tick...tick...tick...>,1970.0109,6000.0
<...und_sowas_muß_um_acht_ins_Bett>,1965.0115,
<...à_la_campagne>,1995.0405,
<.303_(film)>,2009.0,
<.45_(film)>,2006.113,
<.com_for_Murder>,2001.1,
<.hack//The_Movie>,2012.0121,
<0-41*>,2016.0,
<0.5_mm>,2014.1108,
<002_Operazione_Luna>,1965.0,
<00_Schneider_–_Jagd_auf_Nihil_Baxter>,1994.0,
<033>,2010.0305,
<06/05>,2004.1212,
<08/15_(1954_film)>,1954.093,
"<1,000_Dollars_a_Minute>",1935.1022,
"<1,_2,_3,_Sun>",1993.0818,
<1-2-3_Corona>,1948.0917,
<1-2-3_Go>,1941.0426,
<1-900_(film)>,1994.0901,
<1-Ichi>,2003.0124,
<1._April_2000>,1952.1119,
<1._Mai_–_Helden_bei_der_Arbeit>,2008.043,
"<10,000_BC_(film)>",2008.0307,
"<10,000_Hours>",2013.1225,
"<10,000_km>",2014.031,
<10.0_Earthquake>,2014.0,
<10.5_(miniseries)>,2004.0,
"<100,000_Cobbers>",1942.0306,
"<100,000_Pounds>",1948.0,
<100.000_dollari_per_Ringo>,1965.0,
<10000_Years_Later>,2015.0327,
<1000_Mabrouk>,2009.0715,
<1000_Roses>,1994.0929,
<1000_–_Oru_Note_Paranja_Katha>,2015.0213,
<1001_Arabian_Nights_(1959_film)>,1959.1201,
<1001_Danish_Delights>,1972.0204,
<1001_Grams>,2014.0907,
<1001_Nights_(film)>,1990.0,
<100\u0025_Arabica>,1997.0,5100
<100\u0025_Love_(2011_film)>,2011.0506,
<100\u0025_Love_(2012_film)>,2012.012,
<100_(film)>,2008.1203,
<100_Bloody_Acres>,2012.0804,
<100_Days_(1991_film)>,1991.0531,9420
<100_Days_(2001_film)>,2001.0201,
<100_Days_(2013_film)>,2013.1013,
<100_Days_Before_the_Command>,1990.0,
<100_Days_of_Love>,2015.032,
<100_Days_with_Mr._Arrogant>,2004.0116,
<100_Degree_Celsius_(film)>,2014.101,
<100_Feet>,2008.0814,6300.0
<100_Fäuste_und_ein_Vaterunser>,1972.1222,
<100_Girls>,2000.0922,
<100_Horsemen>,1964.0,
<100_Meters>,2016.1104,
<100_Mile_Rule>,2002.0,5880.0
<100_Miles>,2007.0308,
<100_Million_BC>,2008.0729,
<100_Minutes_of_Glory>,2004.0,
<100_Proof_(film)>,1997.0,5640.0
<100_Rifles>,1969.0326,
<100_Streets>,2016.0608,
<100_Tears>,2007.0623,
<100_Ways_to_Murder_Your_Wife>,1986.0605,
<100_Women_(film)>,2002.1018,5880.0
<100_Years_(film)>,2115.1118,
<100_Years_Later>,2016.0127,
<100_Years_of_Love>,1954.0,
<100_Yen_Love>,2014.1025,
<100_dragspel_och_en_flicka>,1946.0131,
<101_Chodyangal>,2013.0,
<101_Dalmatians_(1996_film)>,1996.1127,
<101_Rent_Boys>,2000.0607,
<101_Reykjavík>,2000.0601,
<101_Weddings>,2012.1123,
<102_Dalmatians>,2000.1122,
<1040_(film)>,2010.0312,
<108_Demon_Kings>,2014.1204,
<10_(film)>,1979.1005,
<10_(miniseries)>,2010.1121,
<10_Cloverfield_Lane>,2016.0308,
<10_Days_in_a_Madhouse>,2015.1111,
<10_Endrathukulla>,2015.1021,
<10_Hours_of_Walking_in_NYC_as_a_Woman>,2014.1027,60.0
<10_Items_or_Less_(film)>,2006.0911,
<10_Kalpanakal>,2016.1125,
<10_MPH>,2007.0529,
<10_Minutes_(2002_film)>,2002.1108,
<10_Minutes_(2013_film)>,2013.0,
<10_Promises_to_My_Dog>,2008.0315,
<10_Questions_for_the_Dalai_Lama>,2006.0,
<10_Rillington_Place>,1971.0128,6660
<10_Rules_for_Falling_in_Love>,2012.0316,
<10_Rules_for_Sleeping_Around>,2013.0813,
<10_Sekunden>,2008.1002,
<10_Terrorists>,2012.0329,
<10_Things_I_Hate_About_You>,1999.0331,
<10_Years_(2011_film)>,2011.0912,
<10_on_Ten>,2004.0513,
<10_to_11>,2009.0925,
<10_to_Midnight>,1983.0311,6060
<10th_&_Wolf>,2006.0818,
<10th_Class>,2006.0407,
<10th_District_Court>,2004.0602,
<10½>,2010.1013,
<11'09\u002201_September_11>,2002.0905,
<11-11-11_(film)>,2011.1111,
<11.22.63>,2016.0215,
<11.6>,2013.0403,
<11/11/11_(Keith_Allan_film)>,2011.1101,
<111_First_Street_(film)>,2012.0,
<11B-X-1371>,2015.0509,
<11Eleven_Project>,2012.0,
<11_A.M._(film)>,2013.1128,
<11_Flowers>,2011.0911,
<11_Harrowhouse>,1974.0,5640
<11_Minutes_(film)>,2015.0909,
<11_O'Clock>,1948.0,
<11_Uhr_20>,1970.0108,
<11_listopada>,2008.1111,
<11th_Victim>,1979.1106,
<12-12-12>,2013.1029,
<12.10>,1919.0,
<12/12/12_(film)>,2012.1204,
<120_(film)>,2008.0215,7200.0
<120_Beats_per_Minute>,2017.052,
<123_(film)>,2002.0601,
<125_Rooms_of_Comfort>,1974.1107,
<125_Years_Memory>,2015.1205,
<127_Hours>,2010.0904,
<12B>,2001.0928,7800.0
<12_(2003_film)>,2003.0,
<12_(2007_film)>,2007.0907,
<12_Angry_Men_(1957_film)>,1957.0413,
<12_Angry_Men_(1997_film)>,1997.0817,
<12_Citizens>,2014.1019,
<12_Days_of_Terror>,2004.0,
<12_Golden_Ducks>,2015.0219,
<12_Horas>,2001.0,
<12_Monkeys>,1995.1229,
<12_Monkeys_(TV_series)>,2015.0116,
<12_O'Clock_Boyz>,2001.0,
<12_Paces_Without_a_Head>,2009.0711,
<12_Rounds_(film)>,2009.0319,
<12_Storeys>,1997.0612,
<12_Tangos>,2005.1208,
<12_Winter>,2009.0501,
<12_Years_a_Slave_(film)>,2013.083,
<12_in_a_Box>,2007.0,
<12_to_the_Moon>,1960.0,4440.0
<12th_&_Delaware>,2010.0124,
<13/13/13>,2013.1001,
<13Hrs>,2010.0828,
<13_(2010_film)>,2010.0313,
<13_Assassins_(1963_film)>,1963.0,
<13_Assassins_(2010_film)>,2010.0925,
<13_Beloved>,2006.1005,
<13_Days_to_Die>,1965.0417,
<13_Dead_Men>,2003.1021,
<13_Eerie>,2013.0329,
<13_Fighting_Men>,1960.0,
<13_Frightened_Girls>,1963.0,
<13_Ghosts>,1960.071,
<13_Going_on_30>,2004.0423,
<13_Hours_by_Air>,1936.043,
<13_Lead_Soldiers>,1948.043,
<13_Minutes>,2015.0212,
<13_Moons>,2002.0,
<13_Rue_Madeleine>,1947.0115,
<13_Semester>,2009.0929,
<13_Sins>,2014.0307,
<13_Tzameti>,2005.0901,
<13_West_Street>,1962.0606,
<13_at_a_Table>,2004.0,
<13_jours_en_France>,1968.0927,
<13_lat_13_minut>,2006.0,
<13th_(film)>,2016.093,
<13th_Child>,2002.1025,
<14-18>,1963.0,
<1408_(film)>,2007.0622,
<140_Days_Under_the_World>,1964.0,
<141_Minutes_from_the_Unfinished_Sentence>,1975.0206,
<143_(film)>,2004.0827,
<144_(film)>,2015.1127,
<14_-_Diaries_of_the_Great_War>,2014.0429,
<14_Blades>,2010.0204,
<14_Carrot_Rabbit>,1952.0315,
<14_Days_(film)>,2014.1019,
<14_Days_to_Life>,1997.0403,3600.0
<14_Going_on_30>,1988.0306,
<14_Hours_(2005_film)>,2005.0403,
<14_Women>,2007.0614,
<150_Milligrams>,2016.0912,
<152_(film)>,2006.0422,
<15_(film)>,2003.0427,
<15_Amore>,2000.0,
<15_August_(2001_film)>,2001.0418,
<15_Maiden_Lane>,1936.1016,
<15_Minuten_Wahrheit>,2007.0,
<15_Park_Avenue>,2005.0,6960
<15_ans_et_demi>,2008.0,
<15_till_Midnight>,2010.0924,
<1612_(film)>,2007.1101,
<16_Acres>,2012.0,
<16_Blocks>,2006.0303,
<16_Days_in_Afghanistan>,2007.0,
<16_Days_of_Glory>,1986.0,
<16_December_(film)>,2002.0322,
<16_In_Webster_Groves>,1966.0,
<16_Vayathinile>,1977.0915,
<16_Wishes>,2010.0615,
<16_Years_of_Alcohol>,2003.0814,6120.0
<16_to_Life>,2009.0919,
<170_Hz>,2011.0,
<1732_Høtten>,1998.1226,
<1776_(film)>,1972.1117,
<17_Again_(film)>,2009.0417,
<17_Girls>,2011.0514,
<17_Miracles>,2011.0603,
<18-J>,2004.0819,
<18-Year-Old_Virgin>,2009.012,
<18.11_-_A_Code_of_Secrecy>,2014.0613,
<18000_Dead_in_Gordon_Head>,2001.0,
<180_(2011_American_film)>,2011.0926,
<180_(2011_Indian_film)>,2011.0625,
<1848_(film)>,1949.0,
<1857_(film)>,1946.0,
<1860_(film)>,1934.0,
<1870_(film)>,1971.0,
<1871_(film)>,1990.0,
<1895_(film)>,2008.1107,
<18_Again!>,1988.0408,
<18_Bronzemen>,1976.0,
<18_Days_(film)>,2011.0518,
<18_Fingers_of_Death!>,2006.0411,
<18_Meals>,2010.0612,3600.0
<18_Minutes>,1935.0408,
<18_Vayasu>,2012.0824,
<18_Wheels_of_Justice>,2000.0112,
<18_Years_Later>,2009.0,
<18_–_Allein_unter_Mädchen>,2004.0,
<19-Nineteen>,2009.1112,
<1900_(film)>,1976.0521,
<1909_(film)>,2014.0,
