subject,<wasCreatedOnDate>,<hasLatitude>,<hasLongitude>,<hasMotto>
"<1_Decembrie_1918_University,_Alba_Iulia>",1991.0,46.069,23.57244,
<42_(school)>,2013.0,,,Born2Code
<A.P.S._College_of_Engineering>,1997.0,12.78336111111111,77.49691666666666,Asato mā sad gamaya
<A.S._Pushkin_Brest_State_University>,1945.0,52.137242,23.67234,
<A.T._Still_University>,1892.0,40.193611,-92.579444,
<A.T._Still_University_School_of_Osteopathic_Medicine_in_Arizona>,2007.0,33.382777777777775,-111.705,
<A.V.V.M_Sri_Pushpam_College>,1956.0,10.772677,79.243339,To Learn and To Serve
<A._D._Patel_Institute_of_Technology>,2000.0,,,
<A._Gary_Anderson_Graduate_School_of_Management>,1970.0,33.969801,-117.32583,
<A._James_Clark_School_of_Engineering>,1894.0,38.990944444444445,-76.93816666666667,
<A._Philip_Randolph_Academies_of_Technology>,1977.0,30.367865,-81.676915,
<A._V._C._College>,1955.0,11.09784,79.650726,
<A._V._C._College_of_Engineering>,1996.0,11.10425,79.69255,
<AAB_University>,2002.0,42.6394,21.1103,
<ABES_Engineering_College>,2000.0,28.634,77.446,Vigyan yagn tanute
<ABES_Institute_of_Technology>,2007.0,,,We Make Technocrats
<ABSS_Institute_of_Technology>,2007.0,29.0251,77.774,Academy of excellence
<ACSI_College-Iloilo>,1984.0922,,,
<ACSI_College>,1984.0922,,,
<ACT_College>,1983.0,,,
<ADA_University>,2006.0,40.394558,49.849164,Leading Innovation and Responsible Citizenship
<AES_Algiers>,1970.0,,,
<AES_Bhausaheb_Firodiya_High_School>,1848.0,19.09036,74.73389,
<AFI_Conservatory>,1969.0,,,
<AGSB_University>,1991.0,46.453001,6.857512,
<AIB_College_of_Business>,1921.0,41.56238,-93.645424,
<AICAR_Business_School>,2002.0,19.047777777777778,73.32027777777778,
<AIMST_University>,2001.0,,,
<AISSMS_College_of_Polytechnic>,1994.0,18.52043,73.856744,
<AJA_University_of_Medical_Sciences>,1993.0,,,
"<AJK,_Mass_Communication_Research_Centre>",1982.0,28.635308,77.22496,
<AKS_University>,2011.0,28.35,77.1,
<ALBA_Graduate_Business_School>,1992.0,,,usual|||Un|||Business
<ALHOSN_University>,2005.0,,,Global Knowledge with Local Vision
<ALTIS_–_Postgraduate_School_Business_&_Society>,2005.0,,,
<AMA_Computer_University>,1980.1,14.66485,121.01323055555555,
<AMA_International_University>,2002.0901,26.1859,50.518,
<AMC_Dental_College>,2010.0,23.0053,72.6124,
<AMC_MET_Medical_College>,2009.0,22.998333333333335,72.60444444444444,
<AMET_University>,1992.0,12.854314,80.239372,
<AMU_Malappuram_Campus>,2010.0,,,
<ANU_College_of_Law>,1960.0,-35.281,149.119,
<ANU_Medical_School>,2003.0,-35.276,149.117,
<APIED>,1980.0,,,
<ARCH_Academy_of_Design>,2000.0,26.85547,75.8145253,
<ARMM_Regional_Science_High_School>,1996.0,,,Scientia Et Virtus
<ASA_College>,1985.0,40.6929,-73.9859,
<ASA_University_Bangladesh>,2006.0,23.7738,90.3663,
<ASU_College_of_Public_Service_&_Community_Solutions>,1979.0,33.45264166666667,-112.07372222222222,
<ASU_Colleges_at_Lake_Havasu_City>,2012.0,34.473,-114.321,
<ASU_School_of_Sustainability>,2006.0,33.42152,-111.93534,
<ATI_Kegalle>,2009.0,,,
<AURO_University>,2011.0,21.1796,72.7348,
<AWH_Engineering_College>,2001.0,,,
"<AWH_Special_College,_Kozhikode>",1996.0,11.2346,75.78573,
<AWQAF_Africa_Muslim_Open_College>,2005.0,,,
<A_P_J_Abdul_Kalam_Technological_University>,2014.0,8.5416,76.9057,
<Aalborg_Business_College>,,57.0534,9.9098,
<Aalborg_University>,1974.0,57.015,9.985,Ad nye veje|||Viis Novis
<Aalborg_University_Copenhagen>,2005.0,,,Viis Novis
<Aalesund_University_College>,1994.0,62.472186111111114,6.235716666666667,
<Aalim_Muhammed_Salegh_College_of_Engineering>,1990.0,13.147815,80.058505,
<Aalto_University>,2010.0,60.18611111111111,24.828611111111112,
<Aalto_University_School_of_Business>,1911.0,60.17194444444444,24.922777777777778,
<Aalto_University_School_of_Chemical_Technology>,1849.0,,,
<Aalto_University_School_of_Electrical_Engineering>,1849.0,,,
<Aalto_University_School_of_Engineering>,2011.0101,,,
<Aalto_University_School_of_Science>,1849.0,,,
<Aaniiih_Nakoda_College>,1984.0,48.48444444444444,-108.75888888888889,
